movies,belongs_to_collection
238,230
240,230
155,263
569094,573436
122,119
696374,729322
539,119674
724089,729322
761053,729322
324857,573436
120,119
1891,10
121,119
18491,96850
274,9743
105,264
795607,836546
283566,210303
361743,531330
315162,94602
299534,86311
618344,702342
299536,86311
635302,925155
8587,94032
572154,1073290
667276,519564
694,530064
667538,939352
447365,284433
385687,9485
1083862,133352
603692,404609
805320,731067
900667,23456
406563,228446
423108,313086
614479,228446
664767,848690
697843,735127
76600,87096
1010581,1156666
575264,87359
47964,1570
396263,99321
841755,848690
640146,422834
615656,742536
986070,986072
594767,724848
677179,553717
335977,84
634649,531241
1150394,519564
934433,2602
22620,633815
505642,529892
8920,86115
345940,742536
988078,1130226
879444,947848
534313,534315
842675,1073029
346364,477962
1115710,1115715
893712,893713
536554,1071588
646389,1099094
985939,1102372
616037,131296
414906,948485
796185,913258
675353,720879
19995,87096
24428,86311
293660,448150
118340,284433
671,1241
1726,131292
603,2344
475557,987044
99861,86311
271110,131295
49026,263
68721,131292
284054,529892
76341,8945
284052,618529
70160,131635
315635,531241
672,1241
283995,284433
1771,131295
297761,531242
10195,131296
673,1241
10138,131292
284053,131296
272,263
135397,328
150540,1022790
674,1241
22,295
12445,1241
11,10
297762,468552
102899,422834
140607,10
675,1241
263115,453993
767,1241
12,137697
259316,435259
245891,404609
12444,1241
100402,131295
557,556
49051,121938
585,137696
862,10194
209112,209131
98,1069584
9806,468222
76338,131296
1930,125574
383498,448150
101299,131635
24,2883
198663,295130
18785,86119
808,2150
207703,391860
109445,386382
269149,1084247
240832,868884
329,328
58,295
75656,382685
131631,131635
335983,558216
6479,945984
299537,623911
339403,726865
1892,10
37724,645
127585,748
429617,531241
181808,10
49521,209131
20352,86066
558,556
10193,10194
1893,10
285,295
122917,121938
10528,102322
12155,261307
348,8091
1865,295
447332,521226
559,556
297802,573693
393,2883
920,87118
863,10194
1271,125570
607,86055
353486,495527
78,422837
1895,10
8966,33514
102651,531331
363088,422834
102382,125574
425,8354
1894,10
246655,748
57158,121938
335984,422837
157350,283579
10191,89137
260513,468222
49538,748
324552,404609
218,528
165,264
280,528
68726,363369
131634,131635
420818,762512
168259,9485
330457,386382
351286,328
337339,9485
211672,544669
38356,8650
91314,8650
181812,10
301528,10194
420817,748401
324852,86066
127380,137697
507086,328
93456,86066
453395,618529
438148,544669
809,2150
779029,930409
8355,8354
206647,645
57800,8354
328111,427084
452557,471435
8373,8650
50620,33514
602,304378
810,2150
512200,495527
166426,295
353081,87359
82992,9485
217,84
370172,645
591,115776
10192,2150
80321,14740
411,420
62211,137696
615453,982031
604,2344
385128,9485
50619,33514
119450,173710
18239,33514
1858,8650
24021,33514
56292,87359
602666,525451
177677,87359
49444,77816
950,8354
338952,435259
335797,544670
9502,77816
8960,1036499
928123,930409
51497,9485
41154,86055
82702,89137
330,328
615,985311
11631,458558
335988,8650
10527,14740
36557,645
10764,645
49519,464577
45243,86119
1593,85943
