movies,genres
238,18
238,80
278,18
278,80
240,18
240,80
19404,35
19404,18
19404,10749
424,18
424,36
424,10752
129,16
129,10751
129,14
389,18
372058,10749
372058,16
372058,18
496243,35
496243,53
496243,18
155,18
155,28
155,80
155,53
497,14
497,18
497,80
680,53
680,80
569094,28
569094,12
569094,16
569094,878
122,12
122,14
122,28
13,35
13,18
13,10749
429,37
772071,35
772071,14
769,18
769,80
704264,28
704264,12
704264,16
704264,18
11216,18
11216,10749
346,28
346,18
12477,16
12477,18
12477,10752
637,35
637,18
696374,10749
620249,16
620249,14
620249,28
539,27
539,18
539,53
550,18
372754,10749
372754,16
667257,10751
667257,18
311,18
311,80
724089,10749
598,18
598,80
14537,28
14537,18
14537,36
510,18
761053,10749
761053,35
157336,12
157336,18
157336,878
324857,28
324857,12
324857,16
324857,878
378064,16
378064,18
4935,14
4935,16
4935,12
120,12
120,14
120,28
820067,16
820067,35
820067,10749
1891,12
1891,28
1891,878
40096,35
40096,18
40096,14
92321,10749
92321,16
92321,14
255709,18
872585,18
872585,36
121,12
121,14
121,28
423,18
423,10752
995133,16
995133,10751
995133,12
995133,14
244786,18
244786,10402
568332,10402
807,80
807,9648
807,53
27205,28
27205,878
27205,12
652837,16
652837,18
652837,10749
567,53
567,9648
18491,16
18491,878
18491,28
599,18
73,18
12493,80
12493,18
12493,9648
12493,53
3782,18
274,80
274,18
274,53
533514,16
533514,14
533514,10749
533514,18
914,35
914,10752
128,12
128,14
128,16
851644,10749
851644,18
15804,80
15804,18
15804,10749
644479,18
644479,35
101,80
101,18
101,28
901,35
901,10749
901,18
207,18
105,12
105,35
105,878
630566,10402
630566,18
630566,10749
25237,18
25237,10752
795607,16
795607,14
795607,28
795607,12
16672,18
16672,53
283566,16
283566,28
283566,878
283566,18
447362,18
447362,10749
3082,35
3082,18
335,18
335,37
527641,10749
527641,18
20334,35
20334,18
20334,10749
10494,16
10494,53
29259,80
29259,18
29259,53
29259,36
28,18
28,10752
568300,10402
637920,18
77338,18
77338,35
361743,28
361743,18
315162,16
315162,10751
315162,14
315162,12
315162,35
10376,18
10376,10402
10376,10749
975,18
975,10752
670,18
670,53
670,9648
670,28
299534,12
299534,878
299534,28
618344,16
618344,28
618344,878
632632,16
632632,18
632632,10402
632632,10749
537061,10770
537061,16
537061,878
537061,28
537061,12
537061,35
537061,18
537061,14
537061,10402
265177,18
1585,18
1585,10751
1585,14
441130,16
441130,10751
441130,12
441130,14
299536,12
299536,28
299536,878
635302,28
635302,16
635302,12
635302,14
635302,53
504253,16
504253,18
504253,10749
8587,10751
8587,16
8587,18
508965,16
508965,10751
508965,12
508965,35
508965,14
897429,18
897429,10402
797,18
42269,18
42269,35
572154,16
572154,35
572154,10749
572154,18
572154,14
490132,18
490132,35
290098,53
290098,18
290098,10749
110420,16
110420,10751
110420,18
110420,14
110420,12
24188,18
24188,35
575813,18
5156,18
667276,16
667276,35
667276,14
667276,12
667276,10751
556574,36
556574,18
610892,18
610892,14
610892,16
354912,10751
354912,16
354912,14
354912,10402
354912,35
354912,12
522924,18
522924,10749
522924,35
694,27
694,53
298618,28
298618,12
298618,878
346698,35
346698,12
346698,14
667538,28
667538,12
667538,878
447277,12
447277,10751
447277,14
447277,10749
1040148,16
1040148,10751
1040148,14
1040148,35
447365,878
447365,12
447365,28
459003,16
459003,12
459003,10751
459003,14
385687,28
385687,80
385687,53
1076487,28
1076487,18
1076487,10752
455476,14
455476,28
455476,12
678512,28
678512,18
1083862,16
1083862,28
1083862,27
603692,28
603692,53
603692,80
502356,16
502356,10751
502356,12
502356,14
502356,35
1059638,12
976573,16
976573,35
976573,10751
976573,14
976573,10749
808396,28
808396,80
808396,27
805320,53
805320,18
805320,878
805320,27
900667,16
900667,12
900667,28
900667,14
254128,28
254128,18
254128,53
921636,10749
921636,28
921636,35
445651,28
445651,12
445651,18
987507,28
987507,80
406563,27
406563,9648
406563,53
1130818,28
1130818,35
1130818,80
1130818,12
1070802,9648
1070802,53
1070802,28
423108,27
423108,9648
423108,53
614479,27
614479,9648
614479,53
664767,16
664767,28
664767,14
697843,28
697843,53
76600,878
76600,12
76600,28
954388,53
954388,27
1010581,10749
1010581,18
1103825,878
1103825,9648
1103825,53
1036561,28
1036561,14
1036561,53
667717,16
667717,12
667717,14
667717,878
575264,28
575264,12
575264,53
882569,10752
882569,28
882569,53
47964,28
47964,53
1075335,27
1075335,80
1075335,53
890771,27
890771,53
536437,9648
536437,53
536437,878
758323,27
758323,53
713704,53
713704,27
396263,878
396263,28
396263,16
841755,16
841755,28
841755,14
640146,28
640146,12
640146,878
615656,28
615656,878
615656,27
986070,28
986070,27
986070,53
840326,28
840326,10752
787752,27
787752,53
787752,35
204553,12
204553,80
204553,28
204553,53
594767,35
594767,28
594767,14
714669,27
714669,53
677179,18
677179,28
994143,27
335977,12
335977,28
335977,14
917007,27
568124,16
568124,35
568124,10751
568124,14
634649,28
634649,12
634649,878
993867,27
993867,53
1150394,16
1150394,35
1150394,10751
1150394,27
934433,27
934433,53
934433,9648
22620,9648
22620,35
22620,14
1149947,99
1149947,36
543504,28
543504,80
543504,9648
543504,53
73723,16
73723,10751
856289,14
856289,10752
1127781,35
1127781,27
1127781,14
505642,28
505642,12
505642,878
436270,28
436270,12
436270,878
884605,35
884605,10749
961323,16
961323,12
961323,14
8920,16
8920,35
8920,10751
345940,28
345940,878
345940,27
1074034,28
1074034,10752
1074034,53
605886,28
605886,80
605886,53
605886,9648
675445,16
675445,10751
675445,12
675445,35
812225,16
812225,14
812225,28
812225,12
988078,10749
988078,18
988078,35
848730,28
848730,53
848730,80
848730,18
879444,28
879444,35
879444,80
648743,10749
648743,35
868759,28
868759,35
868759,10749
534313,16
534313,10751
534313,35
534313,12
496450,16
496450,10751
496450,28
496450,14
496450,10749
842675,878
842675,28
842675,18
804150,53
804150,35
804150,80
346364,27
346364,14
1130571,27
1115710,27
893345,10751
893345,14
893345,12
1129956,80
1129956,28
1129956,53
893712,16
893712,28
893712,14
893712,878
17681,16
17681,35
17681,9648
17681,10751
17681,14
813477,28
813477,878
813477,53
616747,35
616747,14
616747,27
536554,878
536554,27
860278,99
916224,16
916224,18
916224,12
916224,14
646389,28
646389,12
646389,53
985939,53
552688,28
552688,53
620705,878
620705,28
620705,12
620705,10751
616037,14
616037,28
616037,35
617932,35
414906,80
414906,9648
414906,53
799379,28
799379,53
799379,27
700391,878
700391,53
700391,18
700391,28
700391,12
1018494,10752
1018494,53
1018494,28
1018494,12
1018494,9648
1018494,878
1018494,18
796185,28
796185,12
796185,36
796185,18
675353,28
675353,12
675353,10751
675353,35
1012837,18
1012837,28
19995,28
19995,12
19995,14
19995,878
24428,878
24428,28
24428,12
293660,28
293660,12
293660,35
118340,28
118340,878
118340,12
671,12
671,14
1726,28
1726,878
1726,12
68718,18
68718,37
603,28
603,878
597,18
597,10749
475557,80
475557,53
475557,18
11324,18
11324,53
11324,9648
106646,80
106646,18
106646,35
99861,28
99861,12
99861,878
271110,12
271110,28
271110,878
49026,28
49026,80
49026,18
49026,53
68721,28
68721,12
68721,878
284054,28
284054,12
284054,878
76341,28
76341,12
76341,878
284052,28
284052,12
284052,14
16869,18
16869,53
16869,10752
70160,878
70160,12
70160,14
315635,28
315635,12
315635,878
315635,18
672,12
672,14
283995,878
283995,12
283995,28
1771,28
1771,12
1771,878
297761,28
297761,12
297761,14
10195,12
10195,14
10195,28
673,12
673,14
10138,12
10138,28
10138,878
284053,28
284053,12
284053,878
272,28
272,80
272,18
135397,28
135397,12
135397,878
135397,53
150540,16
150540,10751
150540,12
150540,18
150540,35
674,12
674,14
674,10751
22,12
22,14
22,28
12445,14
12445,12
11,12
11,28
11,878
297762,28
297762,12
297762,14
14160,16
14160,35
14160,10751
14160,12
102899,878
102899,28
102899,12
286217,18
286217,12
286217,878
140607,12
140607,28
140607,878
675,12
675,14
675,9648
263115,28
263115,18
263115,878
767,12
767,14
12,16
12,10751
259316,14
259316,12
259316,10751
245891,28
245891,53
12444,12
12444,14
100402,28
100402,12
100402,878
557,14
557,28
10681,16
10681,10751
10681,878
49051,12
49051,14
49051,28
210577,9648
210577,53
210577,18
585,16
585,35
585,10751
281957,37
281957,18
281957,12
862,16
862,12
862,10751
862,35
209112,28
209112,12
209112,14
98,28
98,18
98,12
37165,35
37165,18
9806,28
9806,12
9806,16
9806,10751
329865,18
329865,878
329865,9648
76338,28
76338,12
76338,14
1930,28
1930,12
1930,14
381288,27
381288,53
383498,28
383498,35
383498,12
101299,12
101299,28
101299,878
24,28
24,80
419430,9648
419430,53
419430,27
424694,10402
424694,18
424694,36
205596,36
205596,18
205596,53
205596,10752
198663,28
198663,9648
198663,878
198663,53
18785,35
808,16
808,35
808,14
808,12
808,10751
207703,80
207703,35
207703,28
207703,12
2062,16
2062,35
2062,10751
2062,14
313369,35
313369,18
313369,10749
313369,10402
109445,16
109445,10751
109445,12
109445,14
374720,10752
374720,28
374720,18
269149,16
269149,12
269149,10751
269149,35
240832,28
240832,878
329,12
329,878
321612,10751
321612,14
321612,10749
58,12
58,14
58,28
75656,53
75656,80
177572,12
177572,10751
177572,16
177572,28
177572,35
131631,878
131631,12
131631,53
335983,878
335983,28
6479,18
6479,878
6479,53
299537,28
299537,12
299537,878
339403,28
339403,80
857,18
857,36
857,10752
1124,18
1124,9648
1124,878
1892,12
1892,28
1892,878
37724,28
37724,12
37724,53
49047,878
49047,53
49047,18
127585,28
127585,12
127585,878
429617,28
429617,12
429617,878
72190,28
72190,18
72190,27
72190,878
72190,53
333339,878
333339,12
333339,28
330459,28
330459,12
330459,878
181808,12
181808,28
181808,878
49521,28
49521,12
49521,878
640,18
640,80
20352,10751
20352,16
20352,35
20352,80
558,28
558,12
558,14
118,12
118,35
118,10751
118,14
10193,16
10193,10751
10193,35
1422,18
1422,53
1422,80
120467,35
120467,18
38,878
38,18
38,10749
77,9648
77,53
44214,18
44214,53
44214,27
752,28
752,53
752,878
1893,12
1893,28
1893,878
152601,10749
152601,878
152601,18
285,12
285,14
285,28
273248,18
273248,9648
273248,37
122917,28
122917,12
122917,14
500,80
500,53
10528,28
10528,12
10528,80
10528,9648
12155,10751
12155,14
12155,12
348,27
348,878
1865,12
1865,28
1865,14
447332,27
447332,18
447332,878
559,14
559,28
559,12
297802,28
297802,12
297802,14
393,28
393,80
393,53
920,16
920,12
920,35
920,10751
863,16
863,35
863,10751
1271,28
1271,12
1271,10752
137113,28
137113,878
607,28
607,12
607,35
607,878
353486,12
353486,28
353486,35
353486,14
78,878
78,18
78,53
1895,12
1895,28
1895,878
8966,14
8966,18
8966,10749
324786,18
324786,36
324786,10752
62177,16
62177,12
62177,35
62177,10751
62177,28
62177,14
102651,14
102651,12
102651,28
102651,10751
102651,10749
363088,28
363088,12
363088,878
87827,12
87827,18
274870,18
274870,10749
274870,878
264660,18
264660,878
102382,28
102382,12
102382,14
141052,28
141052,12
141052,878
425,16
425,35
425,10751
425,12
1894,12
1894,28
1894,878
246655,28
246655,12
246655,878
246655,14
57158,14
57158,12
57158,28
335984,878
335984,18
194662,18
194662,35
157350,28
157350,12
157350,878
466272,35
466272,18
466272,53
190859,10752
190859,28
10191,14
10191,12
10191,16
10191,10751
260513,28
260513,12
260513,16
260513,10751
162,14
162,18
162,10749
49538,28
49538,878
49538,12
324552,28
324552,53
324552,80
185,878
185,18
4922,18
4922,14
4922,10749
218,28
218,53
218,878
165,12
165,35
165,878
280,28
280,53
280,878
64690,18
64690,53
64690,80
68726,28
68726,878
68726,12
131634,28
131634,12
131634,878
420818,12
420818,18
420818,10751
420818,16
168259,28
168259,53
168259,80
330457,10751
330457,16
330457,12
330457,35
330457,14
351286,28
351286,12
351286,878
351286,53
337339,28
337339,80
337339,53
211672,10751
211672,16
211672,12
211672,35
38356,28
38356,878
38356,12
91314,878
91314,28
91314,12
181812,12
181812,28
181812,878
301528,10751
301528,12
301528,16
301528,35
301528,14
420817,12
420817,14
420817,10749
420817,10751
324852,28
324852,16
324852,35
324852,10751
324852,12
127380,12
127380,16
127380,35
127380,10751
507086,12
507086,28
507086,878
1148557,10402
93456,16
93456,35
93456,10751
278927,10751
278927,12
278927,18
278927,14
453395,14
453395,28
453395,12
438148,16
438148,35
438148,10751
809,16
809,10751
809,35
809,14
809,12
1020253,9648
1020253,35
779029,18
779029,10752
8355,16
8355,35
8355,10751
8355,12
206647,28
206647,12
206647,53
57800,16
57800,35
57800,12
57800,10751
328111,12
328111,35
328111,16
328111,10751
1152832,878
1152832,28
1152832,12
452557,10752
452557,28
452557,18
8373,878
8373,28
8373,12
50620,12
50620,14
50620,18
50620,10749
758891,18
758891,35
758891,14
602,28
602,12
602,878
810,14
810,12
810,16
810,35
810,10751
512200,12
512200,35
512200,14
346696,27
346696,35
346696,10402
166426,12
166426,28
166426,14
601,878
601,12
601,10751
601,14
353081,28
353081,12
14161,28
14161,12
14161,878
82992,28
82992,53
82992,80
217,12
217,28
370172,12
370172,28
370172,53
591,53
591,9648
384018,28
384018,12
384018,35
10192,35
10192,12
10192,14
10192,16
10192,10751
80321,16
80321,10751
80321,35
80321,12
411,12
411,10751
411,14
62211,16
62211,10751
615453,16
615453,14
615453,12
504093,14
604,12
604,28
604,53
604,878
385128,28
385128,12
385128,80
50619,12
50619,14
50619,10749
119450,878
119450,28
119450,18
119450,53
18239,12
18239,14
18239,18
18239,10749
1858,12
1858,878
1858,28
24021,12
24021,14
24021,18
24021,10749
56292,28
56292,53
56292,12
277834,12
277834,35
277834,10751
277834,16
602666,28
602666,35
602666,9648
177677,28
177677,12
1066298,9648
1066298,35
1066298,53
1066298,36
745,9648
745,53
745,18
49444,16
49444,10751
950,16
950,10751
950,35
950,12
338952,14
338952,12
338952,10751
335797,16
335797,35
335797,10751
335797,10402
9502,28
9502,12
9502,16
9502,10751
9502,35
8960,14
8960,28
928123,10752
928123,36
928123,28
928123,18
51497,28
51497,53
51497,80
41154,28
41154,35
41154,878
82702,14
82702,28
82702,12
82702,16
82702,35
82702,10751
330,12
330,28
330,878
615,18
11631,35
11631,10749
335988,28
335988,12
335988,878
10527,10751
10527,12
10527,16
10527,35
74,12
74,53
74,878
36557,12
36557,28
36557,53
38757,16
38757,10751
10764,12
10764,28
10764,53
10764,80
49519,16
49519,12
49519,10751
49519,14
49519,35
49519,28
45243,35
460555,28
460555,53
460555,10752
460555,18
1593,28
1593,12
1593,35
1593,10751
1593,14
